_id,code,name,company,pm,platform,managed_monitoring.project,managed_monitoring.task,managed_monitoring.start,managed_monitoring.end,captask,capname,start,end,gfs_id,captask2,capname2,gfs_id2
5ecfd6764a9a6d0006522890,ASI,Asics Canada,FitnessKeeper Inc,RM,magento,ASI004C,NBT,2018-10-03T00:00:00.000Z,2020-05-31T00:00:00.000Z,ASI004.C-NBT,Asics - ASI004.C - Canada Magento Managed Monitoring & Support,2018-10-03T00:00:00.000Z,05/31/2020,NBT,,,
5ecfd95b4a9a6d0006522892,BS,BluDot,Blu Dot Design & Manufacturing,KD,magento,100673742,NBT,2020-04-01T00:00:00.000Z,2023-07-31T00:00:00.000Z,100673742-NBT,BluDot - 100673742 - Managed Hosting & Support Services,2020-04-01T00:00:00.000Z,07/31/2023,NBT,,,
5ecfdc564a9a6d0006522894,WWRD,WWRD,"WWRD US, LLC",RM,magento,WWR003F,NBT,2019-04-22T00:00:00.000Z,2020-12-03T00:00:00.000Z,WWR003.F-Development,WWRD - WWR003.F - Managed Monitoring 24x7,04/22/2019,12/03/2020,NBT,100645073-Managed Monitoring (24x7),WWRD - 100645073 - Managed Monitoring & Support,Hosting
5ecfde194a9a6d0006522896,PBS,PAX B2B,Pax,RM,magento,,,,,,,,,,,,
5ecfe33f4a9a6d0006522898,OPS,DNA AppStore,"Open Solutions, Inc.",MP,magento,OPE013A,NBT,2017-10-30T00:00:00.000Z,2021-05-31T00:00:00.000Z,OPE013.A-Development,Open Solutions - OPE013.A - Managed Monitoring,10/30/2017,05/31/2021,NBT,,,
5ecfe42c4a9a6d000652289a,CKLRS,Ecklers,Eckler's Automotive,RM,magento,,,,,,,,,,,,
5ecfe5064a9a6d000652289c,KRFT,Kraft Music,KRAFT Music Ltd.,KD,magento,100605210,Managed Monitoring (24x7),2019-11-18T00:00:00.000Z,2020-11-17T00:00:00.000Z,100605210.A-Managed Monitoring (24x7),Kraft Music - 100605210 - Magento Managed Monitoring,11/18/2019,11/17/2020,Managed Monitoring (24x7),,,
5ecfe58d4a9a6d000652289e,VTB,Vermont Teddy Bear,"Vermont Teddy Bear Company, Inc.",RM,magento,VTB002A,Managed Monitoring,2018-05-10T00:00:00.000Z,2021-05-09T00:00:00.000Z,VTB002.A-Development,Vermont Teddy Bear - VTB002.A - Magento Managed Monitoring & Support,05/10/2018,05/09/2021,Development,,,
5ecfe5f44a9a6d00065228a0,PHA,Pharmaca,"Pharmaca Integrative Pharmacy, Inc.",KD,magento,PHA021B,Managed Monitoring,2018-09-18T00:00:00.000Z,2021-10-02T00:00:00.000Z,PHA021.B-NBT,Pharmaca - PHA021.B - M2 Managed Application Hosting & Support,09/18/2018,10/02/2021,NBT,,,
5ecfe6cd4a9a6d00065228a2,SCS,Smiley Cookie,Eat'n Park Hospitality Group,MP,magento,EAT014A,Managed Monitoring,2019-03-25T00:00:00.000Z,2020-03-24T00:00:00.000Z,EAT014.A-Development,EatnPark - EAT014.A - Managed Monitoring (100561132),03/25/2019,03/24/2020,NBT,100561132-NBT,EatnPark - 100561132 - M2 Managed Hosting & Support,NBT
5ecfe7494a9a6d00065228a4,TPDS,ToolPartsDirect,"Toolbarn, Inc.",RM,magento,100659572,NBT,2020-04-01T00:00:00.000Z,2020-09-30T00:00:00.000Z,100659572-NBT,Toolbarn - 100659572 - Magento Support Renewal,04/01/2020,09/30/2020,NBT,,,
5ecfed534a9a6d00065228a6,WNS,WinCraft,"WinCraft, Inc.",KD,magento,,,,,,,,,,,,
5ecfee2e4a9a6d00065228a8,YLN,YourLabelsNow,Pamco Label,RM,magento,,,,,,,,,,,,
5ed012584a9a6d00065228aa,ZOR,Zorch,Zorch International,RM,magento,ZOR009,NBT,2020-04-01T00:00:00.000Z,2021-09-30T00:00:00.000Z,,,,,,,,
5ed0246b4a9a6d00065228ac,SUN,Suncast,Suncast Corporation,KD,magento,,,,,,,,,,,,
5ede6573fcc85132e930bab9,SP,Steel & Pipe,Steel & Pipe,MP,hybris,100669090,NBT,2020-04-01T00:00:00.000Z,2023-12-31T00:00:00.000Z,,,,,,,,
5ede6573fff85132e930ba00,AC,Acushnet - 100560527 - Demandware Managed Monitoring (24x7),Acushnet Company,,sfcc,100560527,NBT,2019-05-13T00:00:00.000Z,2021-02-24T00:00:00.000Z,100560527.A-Managed Monitoring (24x7),Acushnet - 100560527 - Demandware Managed Monitoring (24x7),05/13/2019,02/24/2021,NBT,,,
